File name,URL link,Status Code,Status
/Users/ue/Downloads/2014_Winter/about/overview.html,/Users/ue/Downloads/2014_Winter/static/biopics-ariel_inside.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/about/overview.html,/Users/ue/Downloads/2014_Winter/static/David_Thumbnail.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/about/overview.html,/Users/ue/Downloads/2014_Winter/static/biopics-Joe_studio.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/drafts/html/0886d75d6b9b4c6fbb7bc45c2fbbca00.html,/Users/ue/Downloads/2014_Winter/static/CHEM1I81X_Entrance_Survey.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/drafts/html/521e948a757541d58f628bfc100b6282.html,https://courses.edx.org/courses/McGillX/CHEM181x/1T2014/discussion/forum/undefined/threads/5329b9429a32140fda0003d8,405,METHOD NOT ALLOWED
/Users/ue/Downloads/2014_Winter/drafts/html/d91ef6989b644177ad035bd3ab5d184a.html,/Users/ue/Downloads/2014_Winter/static/CHEM1I81X_Entrance_Survey.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/drafts/html/e40dc4299e2e4ea6978bc1a9b5e21cd0.html,http://dx.doi.org/10.1210/en.2013-1403,303,See Other
/Users/ue/Downloads/2014_Winter/drafts/html/e40dc4299e2e4ea6978bc1a9b5e21cd0.html,http://dx.doi.org/10.3410/m2-59,303,See Other
/Users/ue/Downloads/2014_Winter/drafts/html/ff605d15821e4d79a350b3a648326e6a.html,/Users/ue/Downloads/2014_Winter/static/David_Thumbnail.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/drafts/problem/b8ba6e265aa7464cbaf764c392c6013e.xml,http://www.pepsicobeveragefacts.com/infobyproduct.php?prod_type=1026&prod_size=59&brand_fam_id=1059&brand_id=1004&product=Tropicana+Pure+Premium+-+Orange+Juice+-+Some+Pulp+%28Homestyle%29,302,Moved Temporarily
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1007/s10552-007-9089-2,303,See Other
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1001/jama.1991.03460140061027,303,See Other
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1016/j.jep.2012.07.004,303,See Other
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1136/bmj.e8539,303,See Other
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1080/01635580701684872,303,See Other
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1016/j.jnutbio.2005.01.006,303,See Other
/Users/ue/Downloads/2014_Winter/html/06c4938b8f5d4612bd50a4bf9ecb0785.html,http://dx.doi.org/10.1093/jnci/djk096,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://dx.doi.org/10.1126/science.3810166,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://well.blogs.nytimes.com/2013/04/08/thinking-twice-about-calcium-supplements-2/?_r=0,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://dx.doi.org/10.1056/NEJM199610173351602,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://dx.doi.org/10.1113/jphysiol.2004.060731,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://www.nytimes.com/2010/12/14/health/research/14hormone.html,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://dx.doi.org/10.2215/cjn.05910809,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://dx.doi.org/10.1016/s0140-6736(06)68891-0,303,See Other
/Users/ue/Downloads/2014_Winter/html/11e70967205c4d669f55079c68166e4f.html,http://dx.doi.org/10.1161/hypertensionaha.107.107821,303,See Other
/Users/ue/Downloads/2014_Winter/html/17e2b84ea2b74246b035579a54070109.html,http://www.canada.com/ch/chchnews/story.html?id=99042b1d-fc5c-4588-b4fb-9fbcee2902a6,302,Moved Temporarily
/Users/ue/Downloads/2014_Winter/html/17e2b84ea2b74246b035579a54070109.html,http://dx.doi.org/10.1001/jama.1988.03410100140041,303,See Other
/Users/ue/Downloads/2014_Winter/html/17e2b84ea2b74246b035579a54070109.html,http://phil.cdc.gov/phil/home.asp,302,Object moved
/Users/ue/Downloads/2014_Winter/html/1e60823dec3d4078907a1043f9204286.html,https://courses.edx.org/courses/McGillX/CHEM181x/1T2014/discussion/forum/i4x-McGillX-CHEM181x-course-2014_Winter/threads/533c167321d1cc27ff0005a3,405,METHOD NOT ALLOWED
/Users/ue/Downloads/2014_Winter/html/2230884b1cdf43e19e753104328e65f9.html,http://youtu.be/7IT2I3LtlNE,302,Found
/Users/ue/Downloads/2014_Winter/html/2230884b1cdf43e19e753104328e65f9.html,http://www.divched.org/,404,Not Found
/Users/ue/Downloads/2014_Winter/html/2230884b1cdf43e19e753104328e65f9.html,http://dx.doi.org/10.1016/S0924-7963(02)00079-9,303,See Other
/Users/ue/Downloads/2014_Winter/html/27e5db6a91a2434a9c056e9125aa0a54.html,http://storify.com/CHEM181x/organic-food-is-it-really-free-of-pesticides,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://dx.doi.org/10.1016/0041-008X(80)90253-7,303,See Other
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://dx.doi.org/10.1080/07315724.1991.10718153,303,See Other
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.oehha.org/prop65/CRNR_notices/chemicals_reconsideration/fdelistsacc.html,403,Forbidden
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.healthlinkbc.ca/kb/content/special/abj7112.html,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://dx.doi.org/10.1001/jama.1970.03170080046010,303,See Other
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.efsa.europa.eu/en/topics/topic/aspartame.htm,400,Content Server could not process the request
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://dx.doi.org/10.1016/j.jfca.2008.04.004,303,See Other
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://dx.doi.org/10.1158/1055-9965.epi-06-0203,303,See Other
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.foodnavigator.com/Financial-Industry/Sugar-concerns-spark-market-gains-for-sweeteners,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/CFRSearch.cfm?fr=180.37,503,Service Unavailable
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/CFRSearch.cfm?fr=189.135,503,Service Unavailable
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://www.xlear.com/xylitol-products/xylosweet/,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/30ba9d6bdbb842ff9d329a94635a7928.html,http://dx.doi.org/10.1016/S0140-6736(05)75350-2,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://dx.doi.org/10.1023/A:1007971204469,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://search.proquest.com/docview/238957269?accountid=12339,302,Moved Temporarily
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://www.cancer.ca/~/media/cancer.ca/CW/cancer%20information/cancer%20101/Canadian%20cancer%20statistics/Canadian-Cancer-Statistics-2009-EN.pdf,500,Internal Server Error
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://www.inspection.gc.ca/food/labelling/decisions/food-colours/eng/1348150903240/1348150959157,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://dx.doi.org/10.1093/geronj/34.4.497,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://dx.doi.org/10.2307/3967194,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://www.nytimes.com/2011/04/01/health/policy/01fda.html?_r=2&,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://dx.doi.org/10.2307/3967042,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://dx.doi.org/10.1080/026520399283957,303,See Other
/Users/ue/Downloads/2014_Winter/html/38a09be4455e4c42b8479bec95b9fae4.html,http://www.fda.gov/cosmetics/productandingredientsafety/productinformation/ucm134217.htm,404,Not Found
/Users/ue/Downloads/2014_Winter/html/3ce22ebd7deb408abe8beb31359d2024.html,http://dx.doi.org/10.1038/oby.2012.38,303,See Other
/Users/ue/Downloads/2014_Winter/html/3ce22ebd7deb408abe8beb31359d2024.html,http://dx.doi.org/10.1001/jama.297.9.969,303,See Other
/Users/ue/Downloads/2014_Winter/html/3ce22ebd7deb408abe8beb31359d2024.html,http://dx.doi.org/10.1289/ehp.9882,303,See Other
/Users/ue/Downloads/2014_Winter/html/3ce22ebd7deb408abe8beb31359d2024.html,http://dx.doi.org/10.1001/jama.1976.03270230017019,303,See Other
/Users/ue/Downloads/2014_Winter/html/3e4d70c25d994f2f98d5d0cca937e0bd.html,http://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp,404,Not Found
/Users/ue/Downloads/2014_Winter/html/47b0974d32dd4eb9a6fcfc30d006a122.html,http://www.nejm.org/doi/full/10.1056/NEJMe020163,302,Found
/Users/ue/Downloads/2014_Winter/html/47b0974d32dd4eb9a6fcfc30d006a122.html,http://well.blogs.nytimes.com/2013/09/10/myths-surround-breakfast-and-weight/?_r=2,303,See Other
/Users/ue/Downloads/2014_Winter/html/521e948a757541d58f628bfc100b6282.html,https://courses.edx.org/courses/McGillX/CHEM181x/1T2014/discussion/forum/undefined/threads/5329b9429a32140fda0003d8,405,METHOD NOT ALLOWED
/Users/ue/Downloads/2014_Winter/html/54e01448d3d4435ba3743a3dd6100ef7.html,http://www.nytimes.com/2008/10/12/magazine/12wwln-lede-t.html?_r=1&,303,See Other
/Users/ue/Downloads/2014_Winter/html/55e5e0467d5a4a32a122f1b9430f6a02.html,http://dx.doi.org/10.1056/NEJMon1211064,303,See Other
/Users/ue/Downloads/2014_Winter/html/55e5e0467d5a4a32a122f1b9430f6a02.html,http://dx.doi.org/10.1212/WNL.0b013e3182a351aa,303,See Other
/Users/ue/Downloads/2014_Winter/html/55e5e0467d5a4a32a122f1b9430f6a02.html,http://www.chocosuisse.ch/web/chocosuisse/en/documentation/press_release.html,403,Forbidden
/Users/ue/Downloads/2014_Winter/html/55e5e0467d5a4a32a122f1b9430f6a02.html,http://dx.doi.org/10.1186/1743-7075-3-2,303,See Other
/Users/ue/Downloads/2014_Winter/html/57ffe69d1eea4676a683855c70167789.html,/Users/ue/Downloads/2014_Winter/static/CHEM1I81X_Entrance_Survey.jpg,NA,File does not exist
/Users/ue/Downloads/2014_Winter/html/619cd09701cf4d0eb07d5b0c6346343e.html,https://courses.edx.org/courses/McGillX/CHEM181x/1T2014/discussion/forum/2e839b153714414ca865e9a28c49b2df/threads/533316ddc2cdcd13210000ad,405,METHOD NOT ALLOWED
/Users/ue/Downloads/2014_Winter/html/62c543858063454ba1671226a742e569.html,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000980.pub3/pdf/standard,405,Method Not Allowed
/Users/ue/Downloads/2014_Winter/html/639cbd2b5c944c29a4d5af78d8a599e5.html,http://www.oehha.ca.gov/prop65/acrylamide.html,403,Forbidden
/Users/ue/Downloads/2014_Winter/html/68fd209314d34ec9bb45335dd0a59875.html,http://dx.doi.org/10.1038/nature11698,303,See Other
/Users/ue/Downloads/2014_Winter/html/68fd209314d34ec9bb45335dd0a59875.html,http://dx.doi.org/10.1038/206530a0,303,See Other
/Users/ue/Downloads/2014_Winter/html/68fd209314d34ec9bb45335dd0a59875.html,http://dx.doi.org/10.1146/annurev-food-022811-101214,303,See Other
/Users/ue/Downloads/2014_Winter/html/736be77e07dc45f9a7f134a50c134d7d.html,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:354:0034:0050:en:PDF,500,Internal Server Error
/Users/ue/Downloads/2014_Winter/html/736be77e07dc45f9a7f134a50c134d7d.html,https://courses.edx.org/courses/McGillX/CHEM181x/1T2014/discussion/forum/8899305dc4304cddbc12747daf81b9c9/threads/5333162721d1ccded90000ae,405,METHOD NOT ALLOWED
/Users/ue/Downloads/2014_Winter/html/764b27c99f524f1cbdde61dc61f47ee6.html,https://courses.edx.org/courses/McGillX/CHEM181x/1T2014/discussion/forum/5eb6d611cec24f178d7861a2eec173b1/threads/533314cbc2cdcd86f10000a1,405,METHOD NOT ALLOWED
/Users/ue/Downloads/2014_Winter/html/76ddd331e775451b90062265ac124e98.html,http://www.storify.com,302,Moved Temporarily
/Users/ue/Downloads/2014_Winter/html/7aa81e36b56b4b8a9569f7c800c00058.html,http://www.nytimes.com/2014/01/05/magazine/the-quest-for-a-natural-sugar-substitute.html?pagewanted=1&src=recg,303,See Other
/Users/ue/Downloads/2014_Winter/html/874c3f152b5643369b6ec3f4b1b46647.html,http://www.nytimes.com/2006/12/16/health/16iodine.html?pagewanted=all&_r=1&,303,See Other
/Users/ue/Downloads/2014_Winter/html/874c3f152b5643369b6ec3f4b1b46647.html,http://dx.doi.org/10.1021/cr0206263,303,See Other
/Users/ue/Downloads/2014_Winter/html/874c3f152b5643369b6ec3f4b1b46647.html,http://dx.doi.org/10.3945/an.112.002485,303,See Other
/Users/ue/Downloads/2014_Winter/html/8b7af58be3634c2883a3fb4c79396b69.html,http://dx.doi.org/10.1038/scientificamerican0913-56,303,See Other
/Users/ue/Downloads/2014_Winter/html/8b7af58be3634c2883a3fb4c79396b69.html,http://dx.doi.org/10.2105/ajph.2004.045260,303,See Other
/Users/ue/Downloads/2014_Winter/html/8b7af58be3634c2883a3fb4c79396b69.html,http://dx.doi.org/10.1016/j.ejca.2010.07.025,303,See Other
/Users/ue/Downloads/2014_Winter/html/8d23557ece004bf3b79991b1f53e8423.html,http://www.npr.org/blogs/thesalt/2014/02/04/269479079/how-american-food-companies-go-gmo-free-in-a-gmo-world,404,Not Found
/Users/ue/Downloads/2014_Winter/html/8d23557ece004bf3b79991b1f53e8423.html,http://www.ted.com/talks/michael_specter_the_danger_of_science_denial.html,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/a4e4b905515f439ea8ab3fef9cc93ec3.html,http://www.nytimes.com/2013/11/08/health/fda-trans-fats.html?_r=0,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1056/NEJMoa1307352,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1136/bmj.f6048,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1093/oxfordjournals.eurheartj.a015111,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1001/jama.1991.03460140061027,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1097/01.mco.0000171152.51034.bf,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1001/jama.295.6.655,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1056/NEJM199103283241306,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1001/jama.1984.03340270029025,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1016/j.amjcard.2005.11.014,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1371/journal.pmed.1000252,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1001/jama.1982.03330120023025,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1136/bmj.f903,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1056/NEJMoa0807646,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.1056/NEJM199303043280902,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.3945/ajcn.2009.27725,303,See Other
/Users/ue/Downloads/2014_Winter/html/a9fabdcbcfc14eec8c39c6069b0b4a4e.html,http://dx.doi.org/10.3945/ajcn.2009.29146,303,See Other
/Users/ue/Downloads/2014_Winter/html/aceff69e2ec6435e86079499061bdf72.html,http://www.storify.com,302,Moved Temporarily
/Users/ue/Downloads/2014_Winter/html/aeed8ea949c54bd98be5193a6bfe0c34.html,http://www.nytimes.com/2006/11/08/dining/081mrex.html,303,See Other
/Users/ue/Downloads/2014_Winter/html/b1702f52e9ed41bdac5453b7c85e261a.html,http://dx.doi.org/10.1001/jama.2010.1638,303,See Other
/Users/ue/Downloads/2014_Winter/html/b1702f52e9ed41bdac5453b7c85e261a.html,http://dx.doi.org/10.1186/1471-2164-10-120,303,See Other
/Users/ue/Downloads/2014_Winter/html/b1702f52e9ed41bdac5453b7c85e261a.html,http://dx.doi.org/10.3945/ajcn.2008.25825B,303,See Other
/Users/ue/Downloads/2014_Winter/html/b1702f52e9ed41bdac5453b7c85e261a.html,http://dx.doi.org/10.1038/nrgastro.2010.41,303,See Other
/Users/ue/Downloads/2014_Winter/html/b5bde99e66ff46e6b877d351bfdc2afc.html,http://dx.doi.org/10.1056/NEJM196804042781419,303,See Other
/Users/ue/Downloads/2014_Winter/html/b5bde99e66ff46e6b877d351bfdc2afc.html,http://www.scientificamerican.com/article.cfm?id=its-time-to-end-the-war-on-salt,301,Moved Permanently
/Users/ue/Downloads/2014_Winter/html/b70fd2fb4e7a40c7a473e98660816dff.html,http://dx.doi.org/10.1126%2Fscience.1470903,303,See Other
